season filter mjd0 dzpdt zpt0
2003 g 52640.0 -0.02272012270987034 25.029115676879883
2004 g 53005.0 0.046092890202999115 24.985074996948242
2005 g 53371.0 -0.0010655628284439445 25.01941680908203
2006 g 53736.0 -0.022236919030547142 24.989866256713867
2007 g 54101.0 -0.009701521135866642 24.98432159423828
2008 g 54466.0 -0.03739913925528526 25.109647750854492
2009 g 54832.0 135.87742614746094 -131.89291381835938
2014 g 56658.0 -0.009534534066915512 24.929821014404297
2015 g 57023.0 0.01004345528781414 25.138534545898438
2016 g 57388.0 -0.021427087485790253 25.02886390686035
