utDate fileName skyMean
20140126 bokrm.20140126.0128 1204.8
20140126 bokrm.20140126.0130 1189.3
20140126 bokrm.20140126.0132 1190.8
20140126 bokrm.20140126.0134 1175.4
20140126 bokrm.20140126.0136 1170.5
20140126 bokrm.20140126.0138 1171.7
20140128 bokrm.20140128.0077 845.2
20140128 bokrm.20140128.0079 838.6
20140128 bokrm.20140128.0081 851.2
20140128 bokrm.20140128.0083 865.1
20140128 bokrm.20140128.0085 860.2
20140128 bokrm.20140128.0087 838.8
20140128 bokrm.20140128.0090 803.6
20140128 bokrm.20140128.0092 799.3
20140128 bokrm.20140128.0094 798.3
20140128 bokrm.20140128.0096 802.3
20140128 bokrm.20140128.0098 826.8
20140128 bokrm.20140128.0100 833.1
20140128 bokrm.20140128.0103 804.9
20140128 bokrm.20140128.0105 797.0
20140128 bokrm.20140128.0107 793.4
20140128 bokrm.20140128.0109 803.2
20140128 bokrm.20140128.0111 800.2
20140128 bokrm.20140128.0113 805.5
20140128 bokrm.20140128.0116 819.4
20140128 bokrm.20140128.0118 827.8
20140128 bokrm.20140128.0120 824.9
20140128 bokrm.20140128.0122 826.6
20140128 bokrm.20140128.0124 827.5
20140128 bokrm.20140128.0126 833.6
20140128 bokrm.20140128.0128 874.1
20140128 bokrm.20140128.0130 885.9
20140128 bokrm.20140128.0132 925.5
20140128 bokrm.20140128.0134 907.5
20140128 bokrm.20140128.0136 923.4
20140128 bokrm.20140128.0138 940.0
20140312 bokrm.20140312.0165 1272.3
20140312 bokrm.20140312.0167 984.6
20140312 bokrm.20140312.0169 856.3
20140312 bokrm.20140312.0171 833.6
20140312 bokrm.20140312.0173 848.6
20140312 bokrm.20140312.0175 841.7
20140312 bokrm.20140312.0177 834.4
20140312 bokrm.20140312.0179 828.9
20140312 bokrm.20140312.0181 831.7
20140312 bokrm.20140312.0183 837.3
20140424 bokrm.20140424.0092 883.4
20140424 bokrm.20140424.0094 873.6
20140424 bokrm.20140424.0096 862.0
20140424 bokrm.20140424.0098 848.2
20140424 bokrm.20140424.0100 832.8
20140424 bokrm.20140424.0102 837.3
20140424 bokrm.20140424.0104 810.4
20140424 bokrm.20140424.0106 796.0
20140424 bokrm.20140424.0108 789.5
20140424 bokrm.20140424.0110 789.2
20140424 bokrm.20140424.0112 792.1
20140424 bokrm.20140424.0114 795.6
20140424 bokrm.20140424.0116 777.9
20140424 bokrm.20140424.0118 761.6
20140424 bokrm.20140424.0120 764.8
20140424 bokrm.20140424.0122 754.9
20140424 bokrm.20140424.0124 754.0
20140424 bokrm.20140424.0126 754.4
20140424 bokrm.20140424.0128 774.2
20140424 bokrm.20140424.0130 781.4
20140424 bokrm.20140424.0132 783.5
20140424 bokrm.20140424.0134 802.7
20140424 bokrm.20140424.0136 812.4
20140424 bokrm.20140424.0138 805.1
20140424 bokrm.20140424.0140 837.9
20140424 bokrm.20140424.0142 885.3
20140424 bokrm.20140424.0144 955.2
20140424 bokrm.20140424.0146 1035.1
20140424 bokrm.20140424.0148 1105.1
20140424 bokrm.20140424.0150 1157.9
20140424 bokrm.20140424.0152 1186.0
20140424 bokrm.20140424.0154 1233.0
20140424 bokrm.20140424.0156 1265.8
20140424 bokrm.20140424.0158 1311.3
20140424 bokrm.20140424.0160 1354.4
20140424 bokrm.20140424.0162 1400.2
20140426 bokrm.20140426.0040 856.3
20140426 bokrm.20140426.0042 881.1
20140426 bokrm.20140426.0044 1020.8
20140426 bokrm.20140426.0046 1072.0
20140426 bokrm.20140426.0048 927.2
20140426 bokrm.20140426.0050 938.0
20140427 bokrm.20140427.0069 731.8
20140427 bokrm.20140427.0071 738.5
20140427 bokrm.20140427.0073 733.8
20140427 bokrm.20140427.0075 732.8
20140427 bokrm.20140427.0077 743.4
20140427 bokrm.20140427.0079 727.9
20140427 bokrm.20140427.0082 722.2
20140427 bokrm.20140427.0084 717.7
20140427 bokrm.20140427.0086 725.9
20140427 bokrm.20140427.0088 735.9
20140427 bokrm.20140427.0090 752.9
20140427 bokrm.20140427.0092 767.5
20140427 bokrm.20140427.0095 747.8
20140427 bokrm.20140427.0097 779.1
20140427 bokrm.20140427.0099 770.5
20140427 bokrm.20140427.0101 929.7
20140427 bokrm.20140427.0103 943.9
20140427 bokrm.20140427.0105 742.5
20140518 bokrm.20140518.0054 832.8
20140518 bokrm.20140518.0056 802.9
20140518 bokrm.20140518.0058 797.0
20140518 bokrm.20140518.0060 782.2
20140518 bokrm.20140518.0062 775.1
20140518 bokrm.20140518.0064 764.3
20140518 bokrm.20140518.0066 751.5
20140518 bokrm.20140518.0068 755.9
20140518 bokrm.20140518.0070 749.7
20140518 bokrm.20140518.0072 773.0
20140518 bokrm.20140518.0074 788.1
20140518 bokrm.20140518.0076 837.4
20140518 bokrm.20140518.0078 1008.1
20140630 bokrm.20140630.0053 820.3
20140630 bokrm.20140630.0055 896.6
20140630 bokrm.20140630.0057 886.4
20140630 bokrm.20140630.0059 945.4
20140630 bokrm.20140630.0061 947.9
20140630 bokrm.20140630.0063 1023.8
20140630 bokrm.20140630.0065 1001.2
20140630 bokrm.20140630.0067 996.2
20140630 bokrm.20140630.0069 997.2
20140630 bokrm.20140630.0071 1047.9
20140630 bokrm.20140630.0073 1065.6
20140630 bokrm.20140630.0075 1088.2
20140630 bokrm.20140630.0077 1029.3
20140630 bokrm.20140630.0079 1002.0
20140630 bokrm.20140630.0081 902.3
20140630 bokrm.20140630.0083 879.1
20140630 bokrm.20140630.0085 947.0
20140630 bokrm.20140630.0087 961.8
20140702 bokrm.ut20140702.0057 762.8
20140702 bokrm.ut20140702.0059 773.1
20140702 bokrm.ut20140702.0061 799.5
20140702 bokrm.ut20140702.0063 789.8
20140702 bokrm.ut20140702.0065 805.5
20140702 bokrm.ut20140702.0067 800.1
20140702 bokrm.ut20140702.0069 789.3
