utDate fileName skyMean
20140123 bokrm.20140123.0201 2868.5
20140123 bokrm.20140123.0203 2604.4
20140123 bokrm.20140123.0205 2578.5
20140123 bokrm.20140123.0207 2532.4
20140123 bokrm.20140123.0209 2764.7
20140123 bokrm.20140123.0211 2435.3
20140126 bokrm.20140126.0090 2059.2
20140126 bokrm.20140126.0092 2105.7
20140126 bokrm.20140126.0094 2204.3
20140126 bokrm.20140126.0096 2211.3
20140126 bokrm.20140126.0098 2355.0
20140126 bokrm.20140126.0100 2439.1
20140126 bokrm.20140126.0103 2602.3
20140126 bokrm.20140126.0105 2668.3
20140126 bokrm.20140126.0107 2690.6
20140126 bokrm.20140126.0109 2799.5
20140126 bokrm.20140126.0111 2832.1
20140126 bokrm.20140126.0113 2962.4
20140126 bokrm.20140126.0115 2952.6
20140126 bokrm.20140126.0117 2956.7
20140126 bokrm.20140126.0119 2992.7
20140126 bokrm.20140126.0121 2984.3
20140126 bokrm.20140126.0123 3127.0
20140126 bokrm.20140126.0125 3121.5
20140129 bokrm.20140129.0087 3097.1
20140129 bokrm.20140129.0089 3028.2
20140129 bokrm.20140129.0091 3064.4
20140129 bokrm.20140129.0093 3047.2
20140129 bokrm.20140129.0095 2947.4
20140129 bokrm.20140129.0097 3000.0
20140129 bokrm.20140129.0099 3263.1
20140129 bokrm.20140129.0101 3360.1
20140129 bokrm.20140129.0103 3300.4
20140129 bokrm.20140129.0105 3380.1
20140129 bokrm.20140129.0107 3282.7
20140129 bokrm.20140129.0109 3266.7
20140129 bokrm.20140129.0111 3006.9
20140129 bokrm.20140129.0113 2922.4
20140129 bokrm.20140129.0115 3235.4
20140129 bokrm.20140129.0117 3175.2
20140129 bokrm.20140129.0119 3067.7
20140129 bokrm.20140129.0121 3167.1
20140129 bokrm.20140129.0123 3372.4
20140129 bokrm.20140129.0125 3540.7
20140129 bokrm.20140129.0127 3500.7
20140129 bokrm.20140129.0129 3346.2
20140129 bokrm.20140129.0131 3135.9
20140129 bokrm.20140129.0133 3055.6
20140129 bokrm.20140129.0136 3092.0
20140129 bokrm.20140129.0138 2969.2
20140129 bokrm.20140129.0140 2964.4
20140129 bokrm.20140129.0142 2994.8
20140129 bokrm.20140129.0144 2970.6
20140129 bokrm.20140129.0146 2788.2
20140129 bokrm.20140129.0148 2558.7
20140129 bokrm.20140129.0150 2534.9
20140129 bokrm.20140129.0152 2709.6
20140129 bokrm.20140129.0154 2812.2
20140129 bokrm.20140129.0156 2729.2
20140129 bokrm.20140129.0158 2719.5
20140425 bokrm.20140425.0098 2511.4
20140425 bokrm.20140425.0100 2472.8
20140425 bokrm.20140425.0102 2516.2
20140425 bokrm.20140425.0104 2813.5
20140425 bokrm.20140425.0106 2848.8
20140425 bokrm.20140425.0108 2708.5
20140425 bokrm.20140425.0110 2548.3
20140425 bokrm.20140425.0112 2605.0
20140425 bokrm.20140425.0114 3136.9
20140425 bokrm.20140425.0116 2887.4
20140425 bokrm.20140425.0118 2826.7
20140425 bokrm.20140425.0120 3154.1
20140425 bokrm.20140425.0122 2843.5
20140425 bokrm.20140425.0124 2782.1
20140425 bokrm.20140425.0126 3307.6
20140425 bokrm.20140425.0128 3330.0
20140425 bokrm.20140425.0130 3051.9
20140425 bokrm.20140425.0132 3104.8
20140425 bokrm.20140425.0134 3040.4
20140425 bokrm.20140425.0136 2927.8
20140425 bokrm.20140425.0138 2975.6
20140425 bokrm.20140425.0140 2999.5
20140425 bokrm.20140425.0142 2846.0
20140425 bokrm.20140425.0144 2833.5
20140425 bokrm.20140425.0146 2868.4
20140425 bokrm.20140425.0148 2926.6
20140425 bokrm.20140425.0150 2843.9
20140425 bokrm.20140425.0152 2637.3
20140425 bokrm.20140425.0154 2861.4
20140425 bokrm.20140425.0156 2823.9
20140425 bokrm.20140425.0158 2880.8
20140425 bokrm.20140425.0160 2871.5
20140425 bokrm.20140425.0162 2912.4
20140425 bokrm.20140425.0164 3117.4
20140425 bokrm.20140425.0166 3058.3
20140425 bokrm.20140425.0168 3011.9
20140428 bokrm.20140428.0123 3383.4
20140428 bokrm.20140428.0125 3369.5
20140428 bokrm.20140428.0127 3403.8
20140428 bokrm.20140428.0129 3513.5
20140428 bokrm.20140428.0131 3457.3
20140428 bokrm.20140428.0133 3452.0
20140428 bokrm.20140428.0136 3214.7
20140428 bokrm.20140428.0138 3270.9
20140428 bokrm.20140428.0140 3074.9
20140428 bokrm.20140428.0142 3093.2
20140428 bokrm.20140428.0144 3203.3
20140428 bokrm.20140428.0146 3093.0
20140428 bokrm.20140428.0148 3141.6
20140428 bokrm.20140428.0150 3174.0
20140428 bokrm.20140428.0152 3058.3
20140428 bokrm.20140428.0154 3053.4
20140428 bokrm.20140428.0156 3023.6
20140428 bokrm.20140428.0158 3073.1
20140701 bokrm.ut20140701.0086 2835.0
20140701 bokrm.ut20140701.0088 2795.1
20140701 bokrm.ut20140701.0090 2784.0
20140701 bokrm.ut20140701.0092 2634.9
20140701 bokrm.ut20140701.0094 2921.8
20140701 bokrm.ut20140701.0096 2999.4
20140701 bokrm.ut20140701.0098 2968.2
20140701 bokrm.ut20140701.0100 3019.1
20140701 bokrm.ut20140701.0102 3179.4
20140701 bokrm.ut20140701.0104 3208.3
20140701 bokrm.ut20140701.0106 3240.6
20140701 bokrm.ut20140701.0108 3394.9
20140701 bokrm.ut20140701.0110 3350.2
20140701 bokrm.ut20140701.0112 3490.7
20140701 bokrm.ut20140701.0114 3695.4
20140701 bokrm.ut20140701.0116 3822.5
20140701 bokrm.ut20140701.0118 4062.2
20140701 bokrm.ut20140701.0120 4302.9
20140717 bokrm.ut201407170026 2330.9
20140717 bokrm.ut201407170028 2306.1
20140717 bokrm.ut201407170030 2774.9
