frameIndex utDate fileName filter skyMean
2881 20140219 bokrm.20140219.0144 i 62743.078125
2882 20140219 bokrm.20140219.0145 i 52014.68359375
2883 20140219 bokrm.20140219.0146 i 44456.53125
2884 20140219 bokrm.20140219.0147 i 63847.82421875
3192 20140313 bokrm.20140313.0122 i 51363.89453125
4113 20140319 bokrm.20140319.0052 i 57601.65234375
4114 20140319 bokrm.20140319.0053 i 64446.00390625
4115 20140319 bokrm.20140319.0054 i 64423.68359375
4116 20140319 bokrm.20140319.0055 i 57921.7265625
4117 20140319 bokrm.20140319.0056 i 46177.4765625
4118 20140319 bokrm.20140319.0057 i 54297.40234375
4119 20140319 bokrm.20140319.0058 i 64462.4921875
4120 20140319 bokrm.20140319.0059 i 64457.375
4121 20140319 bokrm.20140319.0060 i 64411.1953125
7054 20140612 bokrm.20140612.0089 i 64480.25
7068 20140612 bokrm.20140612.0103 i 64682.43359375
7069 20140612 bokrm.20140612.0104 i 62133.9140625
7070 20140612 bokrm.20140612.0105 i 64233.140625
7072 20140612 bokrm.20140612.0107 i 64439.37109375
7075 20140612 bokrm.20140612.0110 i 64467.83203125
7076 20140612 bokrm.20140612.0111 i 64242.9453125
7077 20140612 bokrm.20140612.0112 i 64301.265625
7078 20140612 bokrm.20140612.0113 i 64238.62890625
7079 20140612 bokrm.20140612.0114 i 64261.484375
7084 20140612 bokrm.20140612.0119 i 64247.87890625
7085 20140612 bokrm.20140612.0120 i 64240.640625
7086 20140612 bokrm.20140612.0121 i 57304.109375
7088 20140612 bokrm.20140612.0123 i 64223.12890625
9082 20150404 bokrm.20150404.0071 i 41063.03125
9122 20150404 bokrm.20150404.0116 g 48456.8671875
9123 20150404 bokrm.20150404.0117 g 50526.66796875
9124 20150404 bokrm.20150404.0118 g 63750.90234375
9125 20150404 bokrm.20150404.0119 g 64153.62890625
9126 20150404 bokrm.20150404.0120 g 64407.98828125
9189 20150405 bokrm.20150405.0016 g 41573.09375
9194 20150405 bokrm.20150405.0021 g 42462.52734375
9195 20150405 bokrm.20150405.0022 g 41126.86328125
9226 20150405 bokrm.20150405.0053 g 46170.4296875
9278 20150405 bokrm.20150405.0105 g 64165.12890625
9286 20150405 bokrm.20150405.0113 g 64100.62890625
9290 20150405 bokrm.20150405.0117 g 51531.6796875
9411 20150506 d7148.0089 i 60098.62890625
9440 20150506 d7148.0118 i 50250.53125
9441 20150506 d7148.0119 i 53017.515625
9443 20150506 d7148.0121 i 47451.3125
9444 20150506 d7148.0122 i 64128.12109375
10394 20160320 d7467.0099 g 43048.83203125
10395 20160320 d7467.0100 g 64345.7890625
